index_no,place_name,city_name,terrain,architecture,religion,activities,sports,mood,food,attractions,animals_found
75,Majuli Island,Assam,River,None,Hinduism,Boating,None,Spiritual,Local Cuisine,"River Island, Monasteries",Birds
76,Basilica of Bom Jesus,Goa,Urban,Portuguese,Christianity,Pilgrimage,None,Spiritual,Local Cuisine,"Church, Relics",None
77,Chilkur Balaji Temple,Hyderabad,Urban,Dravidian,Hinduism,Pilgrimage,None,Spiritual,Street Food,"Temple, Rituals",None
78,Hogenakkal Falls,Tamil Nadu,Waterfall,None,None,Boating,None,Scenic,Street Food,"Waterfalls, Scenic Views",None
79,Kailasa Temple,Ellora,Hill,None,Hinduism,Sightseeing,None,Historic,Local Cuisine,"Cave Temples, Sculptures",None
80,Nalanda University,Bihar,Urban,None,Buddhism,Sightseeing,None,Historic,Local Cuisine,"Ruins, History",None
81,Shore Temple,Mahabalipuram,Beach,Dravidian,Hinduism,Sightseeing,None,Historic,Local Cuisine,"Temple, Beachside",None
82,Pench National Park,Madhya Pradesh,Forest,None,None,Safari,None,Adventurous,None,"Wildlife, Nature",Tigers
83,Mount Abu,Rajasthan,Hill,None,None,Trekking,None,Serene,Local Cuisine,"Hill Station, Lakes",Wildlife
84,Kumbhalgarh Fort,Rajasthan,Hill,Rajput,Hinduism,Sightseeing,None,Historic,Local Cuisine,"Fort, Scenic Views",None
85,Bandipur National Park,Karnataka,Forest,None,None,Safari,None,Adventurous,None,"Wildlife, Nature",Elephants
86,Lonavala,Maharashtra,Hill,None,None,Trekking,None,Relaxation,Street Food,"Hill Station, Caves",None
87,Matheran,Maharashtra,Hill,None,None,Trekking,None,Serene,Street Food,"Hill Station, Scenic Views",None
88,Silent Valley,Kerala,Forest,None,None,Trekking,None,Serene,Local Cuisine,"Rainforest, Nature",Wildlife
89,Periyar Wildlife Sanctuary,Kerala,Forest,None,None,Safari,None,Adventurous,South Indian,"Sanctuary, Scenic Views",Elephants
90,Pachmarhi,Madhya Pradesh,Hill,None,None,Trekking,None,Serene,Local Cuisine,"Hill Station, Waterfalls",Wildlife
91,Brihadeeswarar Temple,Tamil Nadu,Urban,Dravidian,Hinduism,Pilgrimage,None,Spiritual,South Indian,"Temple, Architecture",None
92,Gangotri,Uttarakhand,Mountain,None,Hinduism,Trekking,None,Spiritual,None,"Mountains, River",None
93,Yamunotri,Uttarakhand,Mountain,None,Hinduism,Trekking,None,Spiritual,None,"Mountains, River",None
94,Dwarka,Gujarat,Coastal,Dravidian,Hinduism,Pilgrimage,None,Spiritual,Gujarati Food,"Temple, Beach",None
95,Chota Char Dham,Uttarakhand,Mountain,None,Hinduism,Trekking,None,Spiritual,None,"Mountains, Temples",None
96,Saputara,Gujarat,Hill,None,None,Trekking,None,Relaxation,Local Cuisine,"Hill Station, Gardens",None
97,Rohtang Pass,Himachal Pradesh,Mountain,None,None,Snow Sports,Adventure Sports,Adventurous,None,"Mountain Pass, Snow",None
98,Lohagad Fort,Maharashtra,Hill,None,None,Trekking,None,Historic,Street Food,"Fort, Scenic Views",None
99,Dhanaulti,Uttarakhand,Hill,None,None,Trekking,None,Serene,Local Cuisine,"Hill Station, Scenic Views",None
100,Velankanni Church,Tamil Nadu,Coastal,Colonial,Christianity,Pilgrimage,None,Spiritual,Seafood,"Church, Beachside",None


